Start: 1710135616045, Latency: 110, Request Type: POST, Response Code: 201
Start: 1710135616050, Latency: 105, Request Type: POST, Response Code: 201
Start: 1710135616051, Latency: 105, Request Type: POST, Response Code: 201
Start: 1710135616051, Latency: 106, Request Type: POST, Response Code: 201
Start: 1710135616052, Latency: 106, Request Type: POST, Response Code: 201
Start: 1710135616052, Latency: 109, Request Type: POST, Response Code: 201
Start: 1710135616053, Latency: 110, Request Type: POST, Response Code: 201
Start: 1710135616054, Latency: 110, Request Type: POST, Response Code: 201
Start: 1710135616055, Latency: 111, Request Type: POST, Response Code: 201
Start: 1710135616055, Latency: 112, Request Type: POST, Response Code: 201
Start: 1710135616056, Latency: 112, Request Type: POST, Response Code: 201
Start: 1710135616062, Latency: 108, Request Type: POST, Response Code: 201
Start: 1710135616063, Latency: 107, Request Type: POST, Response Code: 201
Start: 1710135616064, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135616064, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135616065, Latency: 180, Request Type: POST, Response Code: 201
Start: 1710135616067, Latency: 179, Request Type: POST, Response Code: 201
Start: 1710135616069, Latency: 178, Request Type: POST, Response Code: 201
Start: 1710135616069, Latency: 180, Request Type: POST, Response Code: 201
Start: 1710135616070, Latency: 179, Request Type: POST, Response Code: 201
Start: 1710135616072, Latency: 178, Request Type: POST, Response Code: 201
Start: 1710135616072, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135616073, Latency: 180, Request Type: POST, Response Code: 201
Start: 1710135616074, Latency: 179, Request Type: POST, Response Code: 201
Start: 1710135616075, Latency: 179, Request Type: POST, Response Code: 201
Start: 1710135616081, Latency: 174, Request Type: POST, Response Code: 201
Start: 1710135616144, Latency: 113, Request Type: POST, Response Code: 201
Start: 1710135616146, Latency: 112, Request Type: POST, Response Code: 201
Start: 1710135616148, Latency: 121, Request Type: POST, Response Code: 201
Start: 1710135616150, Latency: 120, Request Type: POST, Response Code: 201
Start: 1710135616151, Latency: 119, Request Type: POST, Response Code: 201
Start: 1710135616153, Latency: 118, Request Type: POST, Response Code: 201
Start: 1710135616155, Latency: 116, Request Type: POST, Response Code: 201
Start: 1710135616155, Latency: 116, Request Type: POST, Response Code: 201
Start: 1710135616156, Latency: 116, Request Type: POST, Response Code: 201
Start: 1710135616157, Latency: 115, Request Type: POST, Response Code: 201
Start: 1710135616158, Latency: 197, Request Type: POST, Response Code: 201
Start: 1710135616161, Latency: 195, Request Type: POST, Response Code: 201
Start: 1710135616164, Latency: 192, Request Type: POST, Response Code: 201
Start: 1710135616165, Latency: 191, Request Type: POST, Response Code: 201
Start: 1710135616167, Latency: 190, Request Type: POST, Response Code: 201
Start: 1710135616168, Latency: 189, Request Type: POST, Response Code: 201
Start: 1710135616170, Latency: 188, Request Type: POST, Response Code: 201
